Player,Pos,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Pick,draft_year,defensive_PD,defensive_QB HUR,defensive_SACKS,defensive_SOLO,defensive_TD,defensive_TFL,defensive_TOT,interceptions_AVG,interceptions_INT,interceptions_TD,interceptions_YDS
Joey Porter Jr.,CB,75.0,193.0,4.46,35.0,17.0,129.0,0.0,0.0,1.0,32.0,2023.0,8.0,1.0,0.0,21.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0
Jaylon Jones,CB,74.0,200.0,4.57,38.0,14.0,122.0,6.88,4.3,1.0,221.0,2023.0,2.0,0.0,0.0,27.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0
Nic Jones,CB,72.0,189.0,4.51,34.5,0.0,122.0,0.0,4.34,1.0,250.0,2023.0,12.0,0.0,0.0,15.0,0.0,0.0,22.0,6.0,2.0,0.0,12.0
Darrell Luter Jr.,CB,72.0,189.0,4.46,40.5,0.0,123.0,6.9,4.43,1.0,155.0,2023.0,5.0,1.0,0.0,25.0,0.0,0.5,37.0,21.0,1.0,0.0,21.0
Ahmad Gardner,CB,75.0,190.0,4.41,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2022.0,4.0,1.0,3.0,28.0,1.0,5.0,40.0,2.3,3.0,0.0,7.0
Thomas Graham Jr.,CB,70.0,192.0,4.49,34.5,13.0,121.0,7.08,4.21,0.0,0.0,2021.0,10.0,0.0,0.0,47.0,0.0,5.0,64.0,13.0,2.0,0.0,26.0
Cameron Kinley,CB,72.0,197.0,4.52,33.0,10.0,116.0,7.06,4.25,0.0,0.0,2021.0,5.0,0.0,0.0,19.0,0.0,1.0,26.0,4.0,1.0,0.0,4.0
Deommodore Lenoir,CB,70.0,199.0,4.48,34.5,15.0,121.0,7.02,4.35,1.0,172.0,2021.0,0.0,0.0,0.0,24.0,0.0,0.0,30.0,24.0,1.0,0.0,24.0
Kalon Barnes,CB,72.0,183.0,4.23,0.0,0.0,0.0,0.0,0.0,1.0,242.0,2022.0,5.0,0.0,0.0,21.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0
Andrew Booth,CB,72.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,2022.0,5.0,0.0,0.0,26.0,0.0,3.0,37.0,0.0,3.0,0.0,0.0
Rachad Wildgoose,CB,71.0,197.0,4.53,36.0,11.0,120.0,7.09,4.18,1.0,213.0,2021.0,1.0,0.0,0.0,6.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0
Rodarius Williams,CB,71.0,189.0,4.5,36.5,14.0,123.0,6.98,4.15,1.0,201.0,2021.0,7.0,0.0,0.0,13.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0
Coby Bryant,CB,73.0,193.0,4.54,0.0,17.0,0.0,0.0,0.0,1.0,109.0,2022.0,11.0,0.0,0.0,34.0,1.0,1.5,44.0,31.7,3.0,1.0,95.0
Kaiir Elam,CB,74.0,191.0,4.39,0.0,0.0,0.0,0.0,0.0,1.0,23.0,2022.0,5.0,0.0,0.0,17.0,0.0,1.5,29.0,0.0,1.0,0.0,0.0
Martin Emerson,CB,74.0,201.0,4.53,0.0,0.0,0.0,0.0,0.0,1.0,68.0,2022.0,3.0,0.0,0.0,31.0,0.0,3.0,49.0,0.0,0.0,0.0,0.0
Cordale Flott,CB,73.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,81.0,2022.0,3.0,0.0,0.0,28.0,0.0,1.0,40.0,0.0,1.0,0.0,0.0
Tariq Castro-Fields,CB,73.0,197.0,4.38,0.0,0.0,0.0,0.0,0.0,1.0,221.0,2022.0,7.0,0.0,0.0,26.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0
Corey Straughter,CB,70.0,184.0,4.62,35.0,11.0,117.0,7.37,4.58,0.0,0.0,2021.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Shaun Wade,CB,72.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,160.0,2021.0,4.0,0.0,0.0,23.0,1.0,1.0,34.0,18.0,2.0,1.0,36.0
Adrian Bushell,CB,69.0,186.0,4.58,33.0,17.0,116.0,6.92,4.25,0.0,0.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Sanders Commings,CB,72.0,216.0,4.41,34.5,0.0,117.0,7.1,4.3,1.0,134.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
David Amerson,CB,73.0,205.0,4.44,35.5,15.0,127.0,0.0,0.0,1.0,51.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,5.0,1.0,82.0
Trevin Wade,CB,70.0,192.0,4.52,34.5,18.0,116.0,6.87,4.0,1.0,245.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Johnny Adams,CB,70.0,185.0,4.48,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,3.0,0.0,11.0
Micah Hyde,CB,72.0,197.0,4.56,33.0,12.0,121.0,6.78,4.2,1.0,159.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Dwayne Gratz,CB,71.0,201.0,4.47,38.0,22.0,125.0,6.7,4.15,1.0,64.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,3.0,1.0,37.0
Janoris Jenkins,CB,70.0,193.0,4.41,33.5,0.0,121.0,6.95,4.13,1.0,39.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,3.0,1.0,68.0
D'Anton Lynn,CB,72.0,206.0,4.71,31.5,17.0,111.0,0.0,0.0,0.0,0.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jayron Hosley,CB,70.0,178.0,4.38,0.0,11.0,0.0,0.0,0.0,1.0,94.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,3.0,0.0,56.0
Cliff Harris,CB,71.0,175.0,4.61,36.0,14.0,118.0,6.79,4.19,0.0,0.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.0,50.0
Coty Sensabaugh,CB,71.0,189.0,4.33,37.0,15.0,122.0,6.6,4.06,1.0,115.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Chaz Powell,CB,72.0,203.0,4.42,33.0,17.0,121.0,6.84,4.16,0.0,0.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,26.0
Chase Minnifield,CB,70.0,183.0,4.63,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,1.0,54.0
Ross Cockrell,CB,72.0,191.0,4.56,36.5,10.0,122.0,7.28,4.32,1.0,109.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,3.0,0.0,19.0
Darqueze Dennard,CB,71.0,199.0,4.52,0.0,15.0,0.0,0.0,0.0,1.0,24.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,4.0,0.0,38.0
Kyle Fuller,CB,72.0,190.0,4.49,38.5,12.0,128.0,6.9,4.19,1.0,14.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,8.0
Ricardo Allen,CB,69.0,187.0,4.61,35.5,13.0,117.0,0.0,4.15,1.0,147.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,42.0
Bennett Jackson,CB,72.0,195.0,4.51,38.0,13.0,128.0,6.75,4.0,1.0,187.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,1.0,34.0
Stanley Jean-Baptiste,CB,75.0,218.0,4.61,41.5,13.0,128.0,0.0,4.33,1.0,58.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,4.0,1.0,134.0
Dontae Johnson,CB,74.0,200.0,4.41,38.5,12.0,124.0,6.82,4.24,1.0,129.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,21.0
Nevin Lawson,CB,69.0,190.0,4.48,33.0,16.0,120.0,7.12,4.4,1.0,133.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,4.0,1.0,65.0
Phillip Gaines,CB,72.0,193.0,4.38,36.5,11.0,122.0,6.62,4.04,1.0,87.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.0,0.0,2.0
Demetri Goodson,CB,71.0,194.0,4.52,37.0,11.0,123.0,6.8,4.34,1.0,197.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,0.0,63.0
Victor Hampton,CB,69.0,197.0,4.69,33.5,20.0,118.0,7.01,4.2,0.0,0.0,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,3.0,0.0,26.0
Tharold Simon,CB,74.0,202.0,4.51,34.0,9.0,128.0,0.0,0.0,1.0,138.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,4.0,0.0,43.0
Jordan Poyer,CB,72.0,191.0,4.54,30.5,8.0,118.0,6.87,4.18,1.0,218.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,7.0,1.0,122.0
Greg Reid,CB,68.0,190.0,4.46,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,12.0
Tyrann Mathieu,CB,69.0,186.0,4.5,34.0,4.0,117.0,6.87,4.14,1.0,69.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,16.0
Kayvon Webster,CB,70.0,195.0,4.41,35.0,14.0,125.0,0.0,0.0,1.0,90.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blidi Wreh-Wilson,CB,73.0,195.0,4.53,36.0,14.0,128.0,6.97,4.12,1.0,70.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Rod Sweeting,CB,71.0,189.0,4.42,37.0,11.0,124.0,0.0,0.0,0.0,0.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,21.0
Desmond Trufant,CB,72.0,190.0,4.38,37.5,16.0,125.0,0.0,3.85,1.0,22.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jamar Taylor,CB,71.0,192.0,4.39,35.0,22.0,127.0,6.82,4.06,1.0,54.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,4.0,0.0,54.0
Stephon Gilmore,CB,72.0,190.0,4.38,36.0,15.0,123.0,6.61,3.94,1.0,10.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Patrick Robinson,CB,71.0,190.0,4.46,39.0,15.0,122.0,6.78,0.0,1.0,32.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sherrick McManis,CB,71.0,195.0,4.48,0.0,0.0,0.0,0.0,0.0,1.0,144.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Jerome Murphy,CB,72.0,196.0,4.5,38.0,16.0,127.0,6.87,4.05,1.0,65.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,4.0,0.0,59.0
David Pender,CB,72.0,180.0,4.37,39.0,8.0,124.0,0.0,0.0,0.0,0.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Chykie Brown,CB,71.0,190.0,4.49,36.5,0.0,120.0,6.5,4.0,1.0,164.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,2.0,0.0,15.0
Jalil Brown,CB,73.0,204.0,4.52,35.5,24.0,116.0,6.85,4.25,1.0,118.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Kendric Burney,CB,69.0,186.0,4.71,32.5,14.0,112.0,0.0,0.0,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,2.0,0.0,11.0
Mario Butler,CB,72.0,182.0,4.65,30.5,0.0,120.0,7.09,4.37,0.0,0.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,1.0,1.0,85.0
Prince Amukamara,CB,72.0,206.0,4.38,38.0,15.0,128.0,6.97,4.08,1.0,19.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,5.0,0.0,63.0
Alterraun Verner,CB,70.0,189.0,4.52,32.0,11.0,116.0,6.7,4.12,1.0,104.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6,5.0,1.0,158.0
Walter Thurmond,CB,71.0,189.0,4.53,0.0,0.0,0.0,0.0,0.0,1.0,111.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,1.0,18.0
Stephan Virgil,CB,71.0,183.0,4.69,34.0,12.0,113.0,7.11,4.35,0.0,0.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,6.0
Chris Cook,CB,74.0,212.0,4.45,38.0,7.0,132.0,6.88,4.23,1.0,34.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,4.0,1.0,66.0
Chris Chancellor,CB,69.0,177.0,4.49,34.0,14.0,115.0,6.85,4.07,0.0,0.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,0.0,37.0
Crezdon Butler,CB,72.0,191.0,4.43,39.5,17.0,121.0,7.08,4.23,1.0,164.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,0.0,47.0
Trevard Lindley,CB,71.0,183.0,4.51,38.5,9.0,116.0,6.81,4.27,1.0,105.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,25.0
Brandon Ghee,CB,72.0,192.0,4.37,37.0,15.0,127.0,6.75,4.07,1.0,96.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Marshay Green,CB,69.0,180.0,4.52,35.5,0.0,124.0,6.66,4.11,0.0,0.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Haden,CB,71.0,193.0,4.52,35.0,18.0,125.0,6.94,4.34,1.0,7.0,2010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,20.0
Brandyn Thompson,CB,69.0,189.0,4.5,33.5,13.0,114.0,6.66,4.12,1.0,213.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,3.0,0.0,20.0
Shareece Wright,CB,71.0,185.0,4.41,34.5,16.0,113.0,0.0,0.0,1.0,89.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Richard Sherman,CB,75.0,195.0,4.54,38.0,16.0,125.0,6.82,4.33,1.0,154.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,4.0,0.0,39.0
Jimmy Smith,CB,74.0,211.0,4.42,36.0,24.0,123.0,6.93,4.06,1.0,27.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,10.0
Morris Claiborne,CB,71.0,188.0,4.5,34.5,0.0,118.0,7.01,4.12,1.0,6.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,6.0,1.0,173.0
Alfonzo Dennard,CB,70.0,204.0,4.48,37.0,0.0,121.0,0.0,0.0,1.0,224.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,4.0,1.0,31.0
Robert Blanton,CB,73.0,208.0,4.66,34.0,12.0,116.0,6.71,3.97,1.0,139.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,2.0,0.0,82.0
Omar Bolden,CB,70.0,202.0,4.51,0.0,24.0,0.0,0.0,0.0,1.0,101.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3,3.0,1.0,85.0
Brandon Boykin,CB,69.0,182.0,4.44,0.0,0.0,0.0,0.0,0.0,1.0,123.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Ron Brooks,CB,70.0,190.0,4.37,38.0,12.0,120.0,0.0,0.0,1.0,124.0,2012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,2.0,2.0,74.0
Marcus Gilchrist,CB,70.0,195.0,4.45,38.5,26.0,119.0,6.81,4.12,1.0,50.0,2011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
